m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
6144,6144,6144,93.018,4986.74,1217.47,2062,346.8,cutlass_mxfp4_bf16
8192,2048,8192,50.232,5472.17,1502.98,2062,346.8,cutlass_mxfp4_bf16
8192,4096,4096,54.124,5078.67,1704.88,2062,385.2,cutlass_mxfp4_bf16
8192,4096,16384,209.529,5247.54,800.71,2062,395.5,cutlass_mxfp4_bf16
8192,8192,2048,72.072,3813.93,2095.06,2062,413.5,cutlass_mxfp4_bf16
8192,8192,8192,197.798,5558.76,1017.84,2062,399.2,cutlass_mxfp4_bf16
8192,11008,4096,138.906,5318.23,1581.48,2062,415.4,cutlass_mxfp4_bf16
8192,16384,4096,203.845,5393.86,1563.77,2062,407.4,cutlass_mxfp4_bf16
12288,12288,12288,752.026,4934.47,602.35,2062,456.6,cutlass_mxfp4_bf16
16384,2048,8192,108.095,5085.86,1319.27,2062,456.6,cutlass_mxfp4_bf16
16384,4096,4096,105.206,5225.52,1674.44,2062,479.1,cutlass_mxfp4_bf16
16384,4096,16384,340.942,6449.85,885.75,2062,474.4,cutlass_mxfp4_bf16
16384,8192,2048,116.336,4725.59,2523.74,2062,503.0,cutlass_mxfp4_bf16
16384,8192,8192,345.824,6358.79,1067.30,2062,502.1,cutlass_mxfp4_bf16
16384,11008,4096,272.998,5412.01,1526.78,2062,514.4,cutlass_mxfp4_bf16
16384,16384,4096,390.858,5626.14,1545.27,2062,540.5,cutlass_mxfp4_bf16
16384,16384,16384,2069.000,4251.37,389.22,1612,672.2,cutlass_mxfp4_bf16
16384,12288,8192,563.237,5856.39,923.40,1590,682.2,cutlass_mxfp4_bf16
16384,12288,12288,1026.000,4822.42,564.15,1583,737.2,cutlass_mxfp4_bf16
16384,12288,16384,1422.000,4639.29,448.34,2062,873.7,cutlass_mxfp4_bf16
16384,16384,6144,577.553,5711.22,1103.85,2062,932.1,cutlass_mxfp4_bf16
32768,16384,32768,8026.000,4383.80,234.12,995,1049.4,cutlass_mxfp4_bf16
32768,32768,16384,8367.000,4205.14,320.83,1009,1150.5,cutlass_mxfp4_bf16
32768,32768,32768,17343.000,4057.47,185.74,1249,1188.9,cutlass_mxfp4_bf16
16384,16384,32768,4100.000,4290.78,261.89,1601,1156.1,cutlass_mxfp4_bf16
32768,16384,32768,8101.000,4343.21,231.95,1027,1182.3,cutlass_mxfp4_bf16
32768,32768,8192,4250.000,4139.34,568.45,1632,1009.8,cutlass_mxfp4_bf16
32768,32768,6144,3167.000,4166.13,741.65,1214,945.4,cutlass_mxfp4_bf16
32768,8192,16384,1596.000,5511.34,546.63,1290,1099.2,cutlass_mxfp4_bf16
32768,8192,32768,3633.000,4842.33,332.50,1148,1094.5,cutlass_mxfp4_bf16
32768,12288,16384,2835.000,4654.02,414.25,1142,1124.5,cutlass_mxfp4_bf16
32768,12288,32768,5551.000,4753.79,278.06,1645,1077.0,cutlass_mxfp4_bf16
