variant,E,n,k,T,sum_m,us,tflops,gbps,sm_mhz,power_w,backend
tp4,257,768,5120,2048,18432,195.764,740.46,5978.62,2062,387.5,CUTLASS
tp4,257,768,5120,4096,36864,356.996,812.08,3629.87,2062,413.6,CUBLASLT
tp4,257,768,5120,4096,36864,231.072,1254.63,5607.98,2062,405.1,CUTLASS
tp4,257,768,5120,5120,46080,282.705,1281.86,4811.08,2062,374.7,CUBLASLT
tp4,257,768,5120,5120,46080,238.093,1522.04,5712.55,2062,375.9,CUTLASS
tp4,257,768,5120,8192,73728,361.982,1601.79,4274.00,2062,419.3,CUBLASLT
tp4,257,768,5120,8192,73728,320.625,1808.41,4825.30,2062,416.9,CUTLASS
tp4,257,768,5120,10240,92160,419.054,1729.55,3992.16,2062,377.7,CUBLASLT
tp4,257,768,5120,10240,92160,395.614,1832.03,4228.69,2062,378.4,CUTLASS
tp4,257,768,5120,16384,147456,579.768,2000.18,3535.53,2062,448.4,CUBLASLT
tp4,257,768,5120,16384,147456,505.764,2292.85,4052.85,2062,447.5,CUTLASS
tp4,257,768,5120,20480,184320,603.128,2403.39,3815.09,2062,414.8,CUBLASLT
tp4,257,768,5120,20480,184320,621.810,2331.18,3700.47,2062,402.7,CUTLASS
tp8,257,384,5120,1,9,44.659,0.79,413.91,2062,228.3,CUBLASLT
tp8,257,384,5120,1,9,17.171,2.06,1076.52,2062,223.8,CUTLASS
tp8,257,384,5120,2,18,45.894,1.54,760.93,2062,240.7,CUBLASLT
tp8,257,384,5120,2,18,18.781,3.77,1859.43,2062,240.2,CUTLASS
tp8,257,384,5120,4,36,48.157,2.94,1280.23,2062,264.9,CUBLASLT
tp8,257,384,5120,4,36,21.814,6.49,2826.26,2062,257.7,CUTLASS
tp8,257,384,5120,8,72,67.936,4.17,1664.27,2062,290.3,CUBLASLT
tp8,257,384,5120,8,72,33.066,8.56,3419.34,2062,274.0,CUTLASS
tp8,257,384,5120,16,144,90.659,6.25,2290.96,2062,304.6,CUBLASLT
tp8,257,384,5120,16,144,48.227,11.74,4306.63,2062,303.5,CUTLASS
tp8,257,384,5120,32,288,130.752,8.66,2581.74,2062,332.1,CUBLASLT
tp8,257,384,5120,32,288,71.866,15.76,4697.18,2062,322.3,CUTLASS
tp8,257,384,5120,64,576,159.379,14.21,2925.35,2062,350.9,CUBLASLT
tp8,257,384,5120,64,576,87.968,25.75,5300.10,2062,345.2,CUTLASS
tp8,257,384,5120,128,1152,175.098,25.87,2986.21,2062,367.8,CUBLASLT
tp8,257,384,5120,128,1152,96.989,46.70,5391.12,2062,368.1,CUTLASS
tp8,257,384,5120,129,1161,192.343,23.73,2718.85,2062,238.5,CUBLASLT
tp8,257,384,5120,129,1161,96.944,47.09,5394.38,2062,231.4,CUTLASS
tp8,257,384,5120,256,2304,182.682,49.59,2955.53,2062,360.9,CUBLASLT
tp8,257,384,5120,256,2304,99.108,91.41,5447.82,2062,360.8,CUTLASS
tp8,257,384,5120,257,2313,190.186,47.82,2839.30,2062,258.1,CUBLASLT
tp8,257,384,5120,257,2313,99.050,91.82,5451.75,2062,251.5,CUTLASS
tp8,257,384,5120,512,4608,190.064,95.33,2912.33,2062,282.9,CUBLASLT
tp8,257,384,5120,512,4608,100.582,180.15,5503.26,2062,275.7,CUTLASS
tp8,257,384,5120,513,4617,191.204,94.95,2895.35,2062,309.2,CUBLASLT
tp8,257,384,5120,513,4617,100.739,180.22,5495.42,2062,300.8,CUTLASS
tp8,257,384,5120,1024,9216,181.437,199.73,3200.80,2062,354.3,CUBLASLT
tp8,257,384,5120,1024,9216,108.269,334.71,5363.89,2062,356.4,CUTLASS
tp8,257,384,5120,1536,13824,193.072,281.54,3148.86,2062,332.0,CUBLASLT
tp8,257,384,5120,1536,13824,112.513,483.13,5403.44,2062,326.2,CUTLASS
tp8,257,384,5120,2048,18432,171.290,423.13,3708.16,2062,360.3,CUBLASLT
tp8,257,384,5120,2048,18432,122.919,589.64,5167.39,2062,358.2,CUTLASS
tp8,257,384,5120,4096,36864,205.796,704.36,3627.20,2062,363.2,CUBLASLT
tp8,257,384,5120,4096,36864,160.468,903.33,4651.79,2062,365.6,CUTLASS
tp8,257,384,5120,5120,46080,187.405,966.86,4288.34,2062,360.5,CUBLASLT
tp8,257,384,5120,5120,46080,166.848,1085.98,4816.69,2062,353.1,CUTLASS
tp8,257,384,5120,8192,73728,234.480,1236.40,4134.33,2062,369.0,CUBLASLT
tp8,257,384,5120,8192,73728,214.362,1352.43,4522.33,2062,369.0,CUTLASS
tp8,257,384,5120,10240,92160,279.319,1297.40,3870.41,2062,368.5,CUBLASLT
tp8,257,384,5120,10240,92160,276.650,1309.91,3907.75,2062,366.9,CUTLASS
tp8,257,384,5120,16384,147456,370.775,1563.81,3817.59,2062,379.0,CUBLASLT
tp8,257,384,5120,16384,147456,353.240,1641.44,4007.10,2062,377.1,CUTLASS
tp8,257,384,5120,20480,184320,396.107,1829.75,4136.15,2062,390.0,CUBLASLT
tp8,257,384,5120,20480,184320,426.350,1699.95,3842.76,2062,388.7,CUTLASS
