variant,E,n,k,T,sum_m,us,tflops,gbps,sm_mhz,power_w,backend
tp4,257,5120,384,16,144,51.895,10.91,3978.50,2062,298.4,CUTLASS
tp4,257,5120,384,32,288,115.933,9.77,2896.72,2062,326.4,CUBLASLT
tp4,257,5120,384,32,288,75.418,15.02,4452.85,2062,317.2,CUTLASS
tp4,257,5120,384,64,576,154.554,14.65,3006.63,2062,350.8,CUBLASLT
tp4,257,5120,384,64,576,98.720,22.94,4707.11,2062,344.1,CUTLASS
tp4,257,5120,384,128,1152,165.363,27.39,3166.13,2062,367.6,CUBLASLT
tp4,257,5120,384,128,1152,108.490,41.75,4825.89,2062,367.6,CUTLASS
tp4,257,5120,384,129,1161,164.295,27.79,3187.30,2062,240.0,CUBLASLT
tp4,257,5120,384,129,1161,108.560,42.05,4823.67,2062,233.8,CUTLASS
tp4,257,5120,384,256,2304,167.879,53.97,3252.02,2062,362.1,CUBLASLT
tp4,257,5120,384,256,2304,112.938,80.22,4834.04,2062,362.1,CUTLASS
tp4,257,5120,384,257,2313,166.711,54.56,3275.39,2062,264.6,CUBLASLT
tp4,257,5120,384,257,2313,115.968,78.43,4708.57,2062,252.4,CUTLASS
tp4,257,5120,384,512,4608,167.840,107.96,3398.64,2062,290.5,CUBLASLT
tp4,257,5120,384,512,4608,115.322,157.12,4946.39,2062,279.0,CUTLASS
tp4,257,5120,384,513,4617,167.760,108.22,3400.84,2062,317.2,CUBLASLT
tp4,257,5120,384,513,4617,115.293,157.47,4948.48,2062,304.1,CUTLASS
tp4,257,5120,384,1024,9216,173.898,208.39,3561.79,2062,354.0,CUBLASLT
tp4,257,5120,384,1024,9216,138.394,261.85,4475.55,2062,354.0,CUTLASS
tp4,257,5120,384,1536,13824,173.223,313.80,3858.32,2062,338.9,CUBLASLT
tp4,257,5120,384,1536,13824,156.186,348.03,4279.20,2062,330.8,CUTLASS
tp4,257,5120,384,2048,18432,181.440,399.46,3953.44,2062,346.7,CUBLASLT
tp4,257,5120,384,2048,18432,172.625,419.86,4155.32,2062,348.3,CUTLASS
tp4,257,5120,384,4096,36864,322.177,449.92,2834.90,2062,334.1,CUBLASLT
tp4,257,5120,384,4096,36864,263.853,549.38,3461.55,2062,335.9,CUTLASS
tp4,257,5120,384,5120,46080,319.403,567.29,3166.76,2062,360.5,CUBLASLT
tp4,257,5120,384,5120,46080,278.481,650.65,3632.10,2062,355.4,CUTLASS
tp4,257,5120,384,8192,73728,383.262,756.43,3406.09,2062,354.0,CUBLASLT
tp4,257,5120,384,8192,73728,413.054,701.87,3160.43,2062,350.9,CUTLASS
tp4,257,5120,384,10240,92160,451.812,802.08,3323.25,2062,371.2,CUBLASLT
tp4,257,5120,384,10240,92160,551.973,656.53,2720.21,2062,367.3,CUTLASS
tp4,257,5120,384,16384,147456,649.067,893.31,3219.40,2062,390.5,CUBLASLT
tp4,257,5120,384,16384,147456,706.319,820.90,2958.45,2062,371.2,CUTLASS
tp4,257,5120,384,20480,184320,837.427,865.48,2963.47,2062,396.0,CUBLASLT
tp4,257,5120,384,20480,184320,854.076,848.61,2905.70,2062,386.8,CUTLASS
tp8,257,5120,192,1,9,35.779,0.49,260.46,2062,221.7,CUBLASLT
tp8,257,5120,192,1,9,13.408,1.32,695.04,2062,222.1,CUTLASS
tp8,257,5120,192,2,18,40.451,0.87,435.42,2062,240.0,CUBLASLT
tp8,257,5120,192,2,18,16.026,2.21,1099.04,2062,240.0,CUTLASS
tp8,257,5120,192,4,36,43.904,1.61,708.96,2062,257.8,CUBLASLT
tp8,257,5120,192,4,36,19.904,3.56,1563.82,2062,257.3,CUTLASS
tp8,257,5120,192,8,72,57.555,2.46,992.57,2062,277.6,CUBLASLT
tp8,257,5120,192,8,72,29.370,4.82,1945.09,2062,274.1,CUTLASS
tp8,257,5120,192,16,144,78.183,3.62,1343.38,2062,299.0,CUBLASLT
tp8,257,5120,192,16,144,47.280,5.99,2221.44,2062,286.5,CUTLASS
tp8,257,5120,192,32,288,106.452,5.32,1607.38,2062,316.8,CUBLASLT
tp8,257,5120,192,32,288,69.780,8.11,2452.11,2062,316.8,CUTLASS
tp8,257,5120,192,64,576,133.651,8.47,1778.25,2062,336.5,CUBLASLT
tp8,257,5120,192,64,576,90.202,12.55,2634.80,2062,334.3,CUTLASS
tp8,257,5120,192,128,1152,146.890,15.42,1840.31,2062,361.1,CUBLASLT
tp8,257,5120,192,128,1152,99.421,22.78,2718.98,2062,358.3,CUTLASS
tp8,257,5120,192,129,1161,147.629,15.46,1831.74,2062,239.6,CUBLASLT
tp8,257,5120,192,129,1161,101.613,22.46,2661.26,2062,232.5,CUTLASS
tp8,257,5120,192,256,2304,147.869,30.63,1944.07,2062,362.6,CUBLASLT
tp8,257,5120,192,256,2304,104.051,43.53,2762.76,2062,366.2,CUTLASS
tp8,257,5120,192,257,2313,149.930,30.33,1917.98,2062,261.7,CUBLASLT
tp8,257,5120,192,257,2313,103.744,43.83,2771.85,2062,251.7,CUTLASS
tp8,257,5120,192,512,4608,151.936,59.63,2050.24,2062,277.2,CUBLASLT
tp8,257,5120,192,512,4608,105.907,85.54,2941.31,2062,276.5,CUTLASS
tp8,257,5120,192,513,4617,153.777,59.03,2026.31,2062,308.3,CUBLASLT
tp8,257,5120,192,513,4617,105.703,85.88,2947.88,2062,298.4,CUTLASS
tp8,257,5120,192,1024,9216,154.589,117.21,2326.04,2062,356.0,CUBLASLT
tp8,257,5120,192,1024,9216,110.730,163.64,3247.36,2062,357.9,CUTLASS
tp8,257,5120,192,1536,13824,158.205,171.80,2576.75,2062,331.0,CUBLASLT
tp8,257,5120,192,1536,13824,120.752,225.08,3375.96,2062,322.8,CUTLASS
tp8,257,5120,192,2048,18432,159.469,227.25,2857.79,2062,337.3,CUBLASLT
tp8,257,5120,192,2048,18432,151.092,239.85,3016.24,2062,348.8,CUTLASS
tp8,257,5120,192,4096,36864,288.836,250.93,2244.01,2062,338.7,CUBLASLT
tp8,257,5120,192,4096,36864,221.492,327.22,2926.29,2062,340.7,CUTLASS
tp8,257,5120,192,5120,46080,293.511,308.67,2536.32,2062,326.0,CUBLASLT
tp8,257,5120,192,5120,46080,235.380,384.90,3162.71,2062,336.4,CUTLASS
tp8,257,5120,192,8192,73728,349.006,415.34,2959.86,2062,323.4,CUBLASLT
tp8,257,5120,192,8192,73728,339.802,426.59,3040.04,2062,323.9,CUTLASS
tp8,257,5120,192,10240,92160,420.023,431.39,2917.58,2062,334.6,CUBLASLT
tp8,257,5120,192,10240,92160,443.956,408.13,2760.29,2062,329.6,CUTLASS
tp8,257,5120,192,16384,147456,623.938,464.65,2889.29,2062,323.3,CUBLASLT
tp8,257,5120,192,16384,147456,601.967,481.60,2994.75,2062,327.7,CUTLASS
tp8,257,5120,192,20480,184320,796.703,454.86,2745.81,2062,350.8,CUBLASLT
tp8,257,5120,192,20480,184320,733.276,494.20,2983.32,2062,348.1,CUTLASS
