variant,E,n,k,T,sum_m,us,tflops,gbps,sm_mhz,power_w,backend
tp8,257,384,5120,1,9,16.211,2.18,638.57,2062,220.6,CUTLASS
tp8,257,384,5120,1,9,38.224,0.93,270.82,2062,229.4,CUBLASLT
tp8,257,384,5120,2,18,17.082,4.14,1144.88,2062,230.2,CUTLASS
tp8,257,384,5120,2,18,37.801,1.87,517.36,2062,249.4,CUBLASLT
tp8,257,384,5120,4,36,18.960,7.47,1821.00,2062,249.4,CUTLASS
tp8,257,384,5120,4,36,38.742,3.65,891.18,2062,269.1,CUBLASLT
tp8,257,384,5120,8,72,25.942,10.91,2440.75,2062,269.8,CUTLASS
tp8,257,384,5120,8,72,48.314,5.86,1310.55,2062,289.7,CUBLASLT
tp8,257,384,5120,16,144,33.939,16.68,3427.15,2062,291.1,CUTLASS
tp8,257,384,5120,16,144,59.111,9.58,1967.72,2062,310.4,CUBLASLT
tp8,257,384,5120,32,288,50.170,22.57,3768.12,2062,316.7,CUTLASS
tp8,257,384,5120,32,288,79.722,14.21,2371.33,2062,323.9,CUBLASLT
tp8,257,384,5120,64,576,62.096,36.47,4204.97,2062,343.1,CUTLASS
tp8,257,384,5120,64,576,101.495,22.32,2572.66,2062,343.1,CUBLASLT
tp8,257,384,5120,128,1152,65.299,69.37,4484.72,2062,362.1,CUTLASS
tp8,257,384,5120,128,1152,103.108,43.93,2840.20,2062,364.0,CUBLASLT
tp8,257,384,5120,256,2304,70.656,128.22,4280.70,2062,383.3,CUTLASS
tp8,257,384,5120,256,2304,102.794,88.13,2942.36,2062,397.7,CUBLASLT
tp8,257,384,5120,1024,9216,73.821,490.90,4412.10,2062,400.7,CUTLASS
tp8,257,384,5120,1024,9216,104.861,345.59,3106.07,2062,400.3,CUBLASLT
tp8,257,384,5120,2048,18432,75.776,956.47,4707.35,2062,398.4,CUTLASS
tp8,257,384,5120,2048,18432,109.031,664.74,3271.59,2062,394.4,CUBLASLT
tp8,257,384,5120,4096,36864,89.392,1621.57,4738.41,2062,391.2,CUTLASS
tp8,257,384,5120,4096,36864,136.436,1062.44,3104.57,2062,390.7,CUBLASLT
tp8,257,384,5120,8192,73728,132.436,2189.06,4213.77,2062,393.3,CUTLASS
tp8,257,384,5120,8192,73728,156.183,1856.22,3573.09,2062,394.7,CUBLASLT
tp1,257,3072,5120,16384,147456,1551.000,2990.69,2327.26,2062,286.1,CUTLASS
tp1,257,3072,5120,16384,147456,1063.000,4363.65,3395.65,2062,250.1,CUBLASLT
tp4,257,768,5120,16384,147456,407.134,2848.30,3008.27,2062,226.8,CUTLASS
tp4,257,768,5120,16384,147456,375.547,3087.87,3261.29,2062,238.8,CUBLASLT
tp8,257,384,5120,16384,147456,222.775,2602.72,3713.62,2062,231.4,CUTLASS
tp8,257,384,5120,16384,147456,235.876,2458.16,3507.36,2062,237.9,CUBLASLT
