m,n,k,us,tflops,gbps,sm_mhz,power_w,backend
8192,8192,2048,71.278,3856.42,4001.41,1897,516.3,cublaslt_nvfp4_fp32
8192,8192,8192,176.235,6238.89,1903.96,1897,516.3,cublaslt_nvfp4_fp32
8192,11008,4096,162.109,4557.02,2467.67,1897,516.3,cublaslt_nvfp4_fp32
8192,16384,4096,190.870,5760.53,3076.45,1492,576.3,cublaslt_nvfp4_fp32
12288,12288,12288,564.811,6570.08,1336.69,1492,576.3,cublaslt_nvfp4_fp32
16384,2048,8192,107.261,5125.40,1955.19,1627,674.8,cublaslt_nvfp4_fp32
16384,4096,4096,101.896,5395.26,3046.03,1627,674.8,cublaslt_nvfp4_fp32
16384,4096,16384,328.267,6698.89,1328.82,1860,728.8,cublaslt_nvfp4_fp32
16384,8192,2048,161.844,3396.83,3472.71,1860,744.3,cublaslt_nvfp4_fp32
16384,8192,8192,335.271,6558.94,1901.55,1860,744.3,cublaslt_nvfp4_fp32
16384,11008,4096,264.914,5577.16,2934.99,2062,810.6,cublaslt_nvfp4_fp32
16384,16384,4096,380.451,5780.04,2998.68,2062,810.6,cublaslt_nvfp4_fp32
16384,16384,16384,1374.000,6401.81,976.84,1476,988.2,cublaslt_nvfp4_fp32
16384,12288,8192,557.981,5911.55,1653.72,1200,1079.1,cublaslt_nvfp4_fp32
16384,12288,12288,739.666,6689.24,1326.91,1783,1110.5,cublaslt_nvfp4_fp32
16384,12288,16384,973.241,6778.45,1068.79,1477,1152.0,cublaslt_nvfp4_fp32
16384,16384,6144,527.752,6250.16,2225.30,1177,1163.9,cublaslt_nvfp4_fp32
32768,16384,32768,6216.000,5660.29,475.03,1244,1187.7,cublaslt_nvfp4_fp32
32768,32768,16384,6217.000,5659.38,777.20,1207,1171.0,cublaslt_nvfp4_fp32
32768,32768,32768,12764.000,5513.06,420.61,1127,1160.6,cublaslt_nvfp4_fp32
16384,16384,32768,3155.000,5575.97,510.50,1163,1093.0,cublaslt_nvfp4_fp32
32768,16384,32768,6146.000,5724.76,480.44,1243,1092.6,cublaslt_nvfp4_fp32
32768,32768,8192,3187.000,5519.98,1431.88,1248,1098.9,cublaslt_nvfp4_fp32
32768,32768,6144,2509.000,5258.72,1792.07,1179,1051.9,cublaslt_nvfp4_fp32
32768,8192,16384,1386.000,6346.39,1016.80,2047,977.5,cublaslt_nvfp4_fp32
32768,8192,32768,3202.000,5494.12,544.92,1162,1020.2,cublaslt_nvfp4_fp32
32768,12288,16384,2172.000,6074.65,911.47,1860,1058.7,cublaslt_nvfp4_fp32
32768,12288,32768,4766.000,5536.78,492.83,1177,1123.4,cublaslt_nvfp4_fp32
